about 2     according 1     acquisition 1     acquisitions 1     actual 1
treated 1     treating 1     treatment 1     treatments 1     tripled 1
two 1     type 1     types 1     unchanged 1     unusual 1
up 8     urge 1     use 1     valley 2     value 1
van 7     video 1     volatility 1     wait 1     waking 1
was 9     wasn't 1     watched 1     we 1     wealth 5
wealthy 1     well 1     went 2     were 9     what 2
what's 1     when 7     where 1     whether 2     which 2
while 1     who 6     whose 1     widespread 1     wie 7
wipe 1     wipes 1     with 11     withholding 1     worker 1
workers 1     worth 1     would 9     year 8     years 2
you 4     your 1
